Title,Year,Domain,Research_Keywords,Research_Approach,Context,Contribution,Document_Score
A Comparative Analysis of Monolith vs Microservices Energy Consumption,2026,Software Architecture,Architecture; Energy Efficiency,Validation Research,"Two Open Source Java-Applications, each implemented in both architectures for controlled comparative experiment regarding energy consumption",Empirical evidence,12.0
A study of energy-aware implementation techniques: Redistribution of computational jobs in mobile apps,2015,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Performance; Resource Optimization; Distributed Systems; Empirical Research,Validation Research,The study empirically evaluates method reallocation and offloading techniques to understand their impact on energy consumption in mobile applications across local and remote execution environments.,Empirical evidence,12.0
APE: an annotation language and middleware for energy-efficient mobile application development,2014,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Frameworks and Tools; Performance; Empirical Research,Evaluation Research,The study empirically compares cross-platform mobile development frameworks against native development to assess their impact on energy consumption and performance.,Empirical evidence,13.5
An adaptive offloading framework for Android applications in mobile edge computing,2019,Software Architecture,Distributed Systems; Energy Efficiency; Programming; Software Development Process,Solution Proposal,Distributed Architecture evaluated in Case-Study with developed aspect-oriented model,Model,12.0
An empirical evaluation of database software features on energy consumption,2018,Code Smells,Architecture; Code Quality; Energy Efficiency; Maintenance; Refactoring,Validation Research,Software system evaluated through empirical refactoring experiments (code smell elimination sequences) and their impact on energy consumption and sustainability,Empirical evidence,13.0
An energy consumption framework for distributed java-based systems,2007,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming; Performance; Empirical Research; Resource Optimization,Validation Research,The study empirically evaluates common programming practices in Android apps to determine their effectiveness in reducing energy consumption.,Empirical evidence,13.0
An investigation into energy-saving programming practices for Android smartphone app development,2014,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming; Performance; Empirical Research; Code Quality,Validation Research,The study experimentally evaluates the impact of Android coding best practices on performance and energy efficiency across different mobile devices.,Empirical evidence,13.0
Analysis and evaluation of the android best practices impact on the efficiency of mobile applications,2013,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Sustainability,Validation Research,"The study empirically analyzes how refactoring a God Class affects power consumption, highlighting trade-offs between maintainability and energy efficiency.",Empirical evidence,13.0
Architectural Tactics to Optimize Software for Energy Efficiency in the Public Cloud,2022,Software Architecture,Architecture; Cloud Computing; Empirical Research; Energy Efficiency; Resource Optimization,Evaluation Research,Public cloud workloads studied in collaboration with a cloud provider using pracitioner interviews and a case study. Identification and synthesis of reusable architectural tactics to improve the energy efficiency of software workloads in the public cloud,Empirical evidence,14.0
Awakening awareness on energy consumption in software engineering,2017,Software Engineering,Energy Efficiency; Software Development Process; Software Engineering; Sustainability,Evaluation Research,Software Development accompanied by researchers measuring energy consumption and performance shown on a dashboard. Awarenex mechanisms influence stakeholder perception and discussion of software energy consumption,Empirical evidence,13.0
Calculating source line level energy information for Android applications,2013,Software Engineering,Energy Efficiency; Metrics and Measurement; Software Analysis; Programming; Empirical Research; Modeling and Meta-Modeling,Validation Research,The study proposes and evaluates an approach to estimate energy consumption at source code line level using hardware-based power measurements with program analysis and statistical modeling.,Method,12.0
Characterizing energy-aware software projects: Are they different?,2016,Software Engineering,Energy Efficiency; Empirical Research; Software Evolution; Software Quality; Software Development Process,Evaluation Research,"The study empirically analyzes characteristics of energy-aware software projects, comparing their size, popularity, and code changes to non-energy-aware projects.",Empirical evidence,13.0
Characterizing the performance and energy efficiency of lock-free data structures,2011,Parallel Programming,Energy Efficiency; Concurrency; Data Structures; Performance; Empirical Research,Evaluation Research,The study empirically compares lock-free and lock-based data structures to analyze their impact on performance and energy consumption under multithreaded workloads.,Empirical evidence,12.5
"Choosing the ""best"" Sorting Algorithm for Optimal Energy Consumption",2009,Software Engineering,Energy Efficiency; Data Structures; Algorithms; Performance; Empirical Research; Self-Adaptive Systems,Validation Research,The study presents and evaluates a case where a system dynamically selects sorting algorithms at runtime to optimize energy consumption in mobile communication scenarios by using an energy management component.,Method,12.5
Data-oriented characterization of application-level energy optimization,2015,Software Engineering,Energy Efficiency; Data Structures; Performance; Empirical Research; Resource Optimization,Validation Research,The study empirically analyzes how data management decisions in applications influence energy consumption and interact with hardware-level optimizations like DVFS.,Empirical evidence,12.5
"Definition, implementation and validation of energy code smells: an exploratory study on an embedded system",2013,Code Smells,Energy Efficiency; Code Quality; Embedded Systems; Empirical Research; Performance; Refactoring,Validation Research,"The study defines, implements, and experimentally validates energy-related code smells on an embedded system by comparing original and refactored code versions.",Empirical evidence,13.0
Do energy-oriented changes hinder maintainability?,2019,Software Maintenance,Energy Efficiency; Maintenance; Software Quality; Mobile Applications; Empirical Research,Evaluation Research,The study empirically analyzes how energy-oriented code changes affect the maintainability of Android applications using real-world commits.,Empirical evidence,13.0
Does maintainability relate to the energy consumption of software? A case study,2021,Software Maintenance,Energy Efficiency; Maintenance; Software Quality; Metrics and Measurement; Empirical Research,Validation Research,The study empirically investigates the relationship between software maintainability metrics and energy consumption across multiple versions of a software system.,Empirical evidence,12.0
Early analysis of resource consumption patterns in mobile applications,2017,Code Smells,Energy Efficiency; Refactoring; Mobile Applications; Software Quality; Empirical Research,Validation Research,"The study proposes and evaluates EARMO, an energy-aware refactoring approach that detects and corrects anti-patterns in mobile apps to improve energy efficiency.",Method,12.0
Empirical evaluation of the energy impact of refactoring code smells,2018,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Metrics and Measurement,Validation Research,The study experimentally evaluates the impact of refactoring code smells on energy consumption and performance in Java applications.,Empirical evidence,13.0
Empirical evaluation of two best practices for energy-efficient software development,2016,Software Engineering,Empirical Research; Energy Efficiency; Performance; Resource Optimization; Software Engineering,Validation Research,Controlled experimental evaluation of software best practices applied to database and web server systems resulting in empirical evidence on the effectiveness of selected best practices in reducing software energy consumption and improving energy profiling,Empirical evidence,12.0
Energy Consumption of&nbsp;IoT Monitoring Software Architectures in&nbsp;the&nbsp;Edge,2024,Software Architecture,Architecture; Energy Efficiency; Internet of Things; Metrics and Measurement,Validation Research,Indoor IoT monitoring systems evaluated on Edge nodes and servers through controlled experiments giving empirical evidence on the energy consumption of different software architecture configurations for Edge-based IoT monitoring systems,Empirical evidence,12.5
"Energy efficiency across programming languages: how do energy, time, and memory relate?",2017,Software Engineering,Energy Efficiency; Programming Languages; Performance; Empirical Research; Metrics and Measurement,Validation Research,"The study empirically compares multiple programming languages to analyze the relationship between energy consumption, execution time, and memory usage.",Empirical evidence,12.5
Energy efficiency analysis of code refactoring techniques for green and sustainable software in portable devices,2022,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Sustainability,Validation Research,The study empirically analyzes how different combinations of refactoring techniques affect energy consumption and maintainability in software applications.,Empirical evidence,13.0
Energy efficiency of the Visitor Pattern: contrasting Java and C++ implementations,2023,Design Patterns,Design Patterns; Energy Efficiency; Programming Languages,Validation Research,Software systems implemented in Java and C++ evaluated through controlled experiments on pattern variants and real-world projects resulting in empirical evidence on how different implementations and removal of the Visitor design pattern affect software energy consumption across programming languages,Empirical evidence,12.5
Energy efficient coding practices for sustainable software development,2024,Software Engineering,Energy Efficiency; Cloud Computing; Programming; Performance; Empirical Research,Validation Research,The study empirically compares applications using conventional and energy-efficient coding practices in a cloud environment to assess their impact on energy consumption and performance.,Empirical evidence,13.0
Energy profiles of Java collections classes,2016,Software Engineering,Energy Efficiency; Data Structures; Programming; Performance; Empirical Research; Metrics and Measurement,Validation Research,The study empirically analyzes the energy consumption of different Java collection classes and demonstrates how selecting appropriate data structures impacts energy efficiency in applications.,Empirical evidence,13.5
Energy refactorings for android in the large and in the wild,2020,Code Smells,Energy Efficiency; Refactoring; Mobile Applications; Software Quality; Empirical Research,Validation Research,The study empirically evaluates the impact of individual and combined energy-related refactorings on Android applications at scale and provides developer guidelines.,Empirical evidence,13.0
"Estimating the energy consumption of software components from size, complexity and code smells metrics",2022,Software Architecture,AI; Code Quality; Energy Efficiency; Metrics and Measurement; Software Engineering,Validation Research,"Architecture-level software components analyzed at design time using metric-based models derived from empirical data resulting in a regression-based model (CCsEM) for estimating the energy consumption of software components using size, complexity, and code smell metrics ",Model,12.0
Evaluating the Impact of Design Pattern Usage on Energy Consumption of Applications for Mobile Platform,2021,Mobile Software Engineering,Design Patterns; Energy Efficiency; Maintenance; Mobile Applications; Performance; Software Engineering; Software Quality,Validation Research,Android mobile applications empirically evaluated before and after applying design patterns and their affects on energy consumption and quality attributes,Empirical evidence,12.0
Evolution of Kotlin Apps in terms of Energy Consumption: An Exploratory Study,2023,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming Languages; Software Engineering; Software Evolution,Evaluation Research,"Open-source Android applications written in Kotlin, analyzed across multiple releases using measurement-based experiments resulting in empirical insights into how the energy consumption of Kotlin-based Android applications evolves over time and the factors influencing energy variations",Empirical evidence,13.5
How do code refactorings affect energy usage?,2014,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Metrics and Measurement,Validation Research,The study empirically investigates how six common code refactorings affect energy consumption across 197 applications.,Empirical evidence,13.0
How does code obfuscation impact energy usage?,2014,Software Engineering,Energy Efficiency; Code Quality; Mobile Applications; Empirical Research; Security,Validation Research,The study empirically evaluates the impact of code obfuscation techniques on energy consumption in Android applications.,Empirical evidence,12.0
How does microservice granularity impact energy consumption and performance? A controlled experiment,2025,Software Architecture,Energy Efficiency; Architecture; Distributed Systems; Performance; Empirical Research,Validation Research,The study conducts a controlled experiment to analyze how microservice granularity affects energy consumption and performance in systems of different scales.,Empirical evidence,12.5
How green are cloud patterns?,2016,Software Architecture,Architecture; Cloud Computing; Design Patterns; Energy Efficiency; Metrics and Measurement; Software Engineering; Web Applications,Validation Research,Cloud-based applications deployed in a public cloud and evaluated through controlled experiments using energy monitoring APIs giving empirical evidence on the energy impact of cloud design patterns and analysis of trade-offs between energy consumption and performance,Empirical evidence,12.5
Inheritance versus Delegation: Which is more energy efficient?,2020,Software Maintenance,Design Patterns; Energy Efficiency; Programming; Refactoring; Software Engineering,Validation Research,Java software systems analyzed through preliminary refactoring experiments on inheritance and delegation refactorings with respect to energy consumption,Empirical evidence,14.0
Investigating the effect of design patterns on energy consumption,2017,Design Patterns,Energy Efficiency; Design Patterns; Empirical Research; Performance; Refactoring,Validation Research,The study empirically compares energy consumption of design pattern implementations against refactored non-pattern alternatives across methods in open-source projects.,Empirical evidence,13.0
Investigating the energy impact of Android smells,2017,Code Smells,Energy Efficiency; Refactoring; Mobile Applications; Code Quality; Empirical Research,Validation Research,The study proposes and evaluates an automated approach (HOT-PEPPER) to detect and correct Android code smells and measure their impact on energy consumption.,Method,12.0
Investigating the impact on execution time and energy consumption of developing with Spring,2021,Framework,Distributed Systems; Energy Efficiency; Frameworks and Tools; Metrics and Measurement; Programming Languages; Software Engineering,Validation Research,Server-side Java applications evaluated across multiple releases developed with and without the Spring framework giving empirical comparison of execution time and energy consumption of applications developed using the Spring framework versus plain Java,Empirical evidence,12.0
Investigation for Software Power Consumption of Code Refactoring Techniques,2014,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research,Validation Research,The study analyzes the power consumption of software before and after applying Fowler’s refactoring techniques to assess their impact on energy efficiency.,Empirical evidence,13.0
"Is it Worth Migrating a Monolith to Microservices? An Experience Report on Performance, Availability and Energy Usage",2024,Software Architecture,Architecture; Energy Efficiency; Performance; Software Quality,Validation Research,"Migration of a real-world web application from monolithic to microservice architecture with horizontal scaling to gain empirical insights into performance, availability, resource usage, and energy trade-offs when migrating from monoliths to microservices",Empirical evidence,13.0
Measuring and Analysing Erlang's Energy Usage,2024,Software Engineering,Energy Efficiency; Programming Languages; Software Engineering,Validation Research,Software systems evaluated by measuring energy usage of Erlang programs in problem domains aligned with the language design showing that erlang's energy consumption depends strongly on the problem domain and can be more efficient than previously assumed,Empirical evidence,12.5
Mining energy-aware commits,2015,Software Engineering,Energy Efficiency; Software Analysis; Software Engineering,Evaluation Research,"Large-scale analysis of real-world software repositories on GitHub providing empirical insights into how developers apply energy-aware solutions in practice, including identified patterns, pitfalls, and energy-aware interfaces",Empirical evidence,12.5
Native or web? A preliminary study on the energy consumption of android development models,2016,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming Languages; Software Engineering,Validation Research,Android applications evaluated using benchmark programs and hybrid implementations resulting in empirical evidence of the energy consumption of native Java and web-based JavaScript Android development models and evidence of energy savings through hybrid approaches,Empirical evidence,12.5
On the Energy Consumption of Web Applications: An Empirical Study of their Design Solutions,2025,Software Architecture,Architecture; Communication Technologies; Energy Efficiency; Software Engineering; Web Applications,Evaluation Research,"Enterprise web applications evaluated in virtualized/cloud environment using performance and energy monitoring tools giving empirical evidence of the energy impact of alternative web design solutions, including frontedn frameworks, backend architectures, and serialization methods",Empirical evidence,13.5
On the energy footprint of mobile testing frameworks,2021,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Frameworks and Tools; Software Quality; Empirical Research,Validation Research,The study empirically evaluates the energy consumption overhead of different mobile testing frameworks and provides guidance for selecting suitable ones.,Empirical evidence,12.5
On the impact of code smells on the energy consumption of mobile applications,2019,Code Smells,Code Quality; Empirical Research; Energy Efficiency; Mobile Applications; Refactoring; Software Analysis,Evaluation Research,Evaluationg 9 android specific code smells regarding their impact on energy consumption of 60 android apps,Empirical evidence,14.0
Practical Sustainable Software Development in Architectural Flexibility for Energy Efficiency Using the Extended Agile Framework,2024,Software Architecture,Architecture; Energy Efficiency; Frameworks and Tools; Maintenance; Methodologies; Software Development Process; Software Engineering; Software Quality; Sustainability; System Software,Evaluation Research,Enterprise information system developed using Agile-layering aspect-oriented framework (ALAI) and evaluated through operational energy measurements compared to traditional Agile development,Empirical evidence,14.5
Predicting data structures for energy efficient computing,2015,Software Architecture,Energy Efficiency; Data Structures; AI; Modeling and Meta-Modeling; Performance,Validation Research,The study proposes and evaluates machine learning-based models to predict energy-efficient data structures for software applications.,Model,12.5
"Program energy efficiency: The impact of language, compiler and implementation choices",2014,Software Engineering,Energy Efficiency; Programming Languages; Compilers; Data Structures; Performance; Empirical Research,Validation Research,"The study empirically evaluates how programming language, compiler optimizations, and implementation choices influence energy consumption of common algorithms.",Empirical evidence,13.0
Ranking programming languages by energy efficiency,2021,Software Engineering,Energy Efficiency; Programming Languages; Performance; Empirical Research; Metrics and Measurement; Frameworks and Tools,Validation Research,"The study empirically benchmarks and ranks multiple programming languages based on their energy consumption, execution time, and memory usage across standardized problems.",Empirical evidence,13.0
