Title,DOI,Abstract,Year,source,Domain,Research_Keywords,Research_Approach,Context,Contribution,Document_Score
A Comparative Analysis of Monolith vs Microservices Energy Consumption,10.1007/978-3-032-02138-0_17,"As energy demands rise and sustainability becomes critical, Information and Communication Technology’s energy footprint is increasingly monitored. In this context, software architecture may play a significant role in determining a system’s energy consumption. This study aims to evaluate and compare the energy consumption of monolithic and microservice-based software to understand their implications for sustainable software design. We applied a cohort study approach in a controlled experimental environment using two open-source Java applications—PetClinic and TicketMonster—each implemented in both monolithic and microservice versions. Three use cases, representing different workloads, were defined and executed 30 times each per version, resulting in 360 total runs. Server energy use was measured with Powerstat and analyzed using Welch’s t-test. Our findings show that microservices may consume less energy than their monolithic counterparts under medium and heavy loads. Specifically, PetClinic and TicketMonster showed energy reductions of 4.99% and 5.05%, respectively. Across all use cases and applications, microservices demonstrated an average energy saving of 5.02% compared to monoliths. These results suggest that microservice architectures may offer improved energy efficiency in high-demand scenarios due to better resource utilization and modular execution. While the study is limited to controlled conditions and two case studies, it provides a foundation for further research on architectural decisions and sustainable software engineering practices. ",2026,initial,Software Architecture,Architecture; Energy Efficiency,Evaluation Research,"Two Open Source Java-Applications, each implemented in both architectures for controlled comparative experiment regarding energy consumption",Empirical evidence,13
An empirical investigation into code smell elimination sequences for energy efficient software,10.1109/APSEC.2016.057,"Recent research has shown that maintainability improving activities, such as removing code smells using recommended refactoring activities, may degrade the energy consumption behavior of software systems. However, current research is still immature and requires considerable effort for transferring findings to practice. This work empirically investigates the impact of eliminating a set of three notorious code smells, individually as well as in all six possible sequences, on energy consumption behavior of software systems. It also analyzes whether any relationship exists between software architecture sustainability (in terms of energy efficiency) and maintainability within the context of individual and sequential code smell elimination. The study outcomes show that the selected code smell removal permutations yield variant levels of energy consumption values for the resulted refactored software versions. Also, a particular permutation is learned to yield most energy-efficient refactored software versions, when compared to all other code smell removal permutations. ",2016,initial,Code Smells,Architecture; Code Quality; Energy Efficiency; Maintenance; Refactoring,Evaluation Research,Software system evaluated through empirical refactoring experiments (code smell elimination sequences) and their impact on energy consumption and sustainability,Empirical evidence,14
Architectural Tactics to Optimize Software for Energy Efficiency in the Public Cloud,10.1109/ICT4S55073.2022.00019,"A promise of cloud computing is the reduction of energy footprint enabled by economies of scale. Unfortunately, little research is available on how cloud consumers can reduce their energy footprint when running software in the public cloud. Moreover, cloud consumers do not have full access to information regarding their cloud infrastructure usage, which is required to understand the impact of design decisions on energy usage. The purpose of our study is to support cloud consumers in developing energy-efficient workloads in the public cloud. To achieve our goal, we collaborated with a large cloud solution provider to discover an initial set of reusable architectural tactics for software energy efficiency. Starting from interviews with 17 practitioners, we reviewed and selected available tactics to improve the energy efficiency of individual workloads in the public cloud, and synthetized the identified tactics in a reusable model. In addition, we conducted a case study to assess the impact of utilizing a tactic, which was selected following a prioritization provided by the practitioners. Our results demonstrate the possibility to architect cloud workloads for energy efficiency through reasoning and estimation of resource optimization. However, the process is not (yet) straightforward due to the current lack of transparency of cloud providers. ",2022,initial,Software Architecture,Architecture; Cloud Computing; Empirical Research; Energy Efficiency; Resource Optimization,Evaluation Research,Public cloud workloads studied in collaboration with a cloud provider using pracitioner interviews and a case study. Identification and synthesis of reusable architectural tactics to improve the energy efficiency of software workloads in the public cloud,Empirical evidence,14
Awakening awareness on energy consumption in software engineering,10.1109/ICSE-SEIS.2017.10,"Software producing organizations have the ability to address the energy impact of their ICT solutions during the development process. However, while industry is convinced of the energy impact of hardware, the role of software has mostly been acknowledged by researchers in software engineering. Strengthened by the limited practical knowledge to reduce the energy consumption, organizations have less control over the energy impact of their products and lose the contribution of software towards energy related strategies. Consequently, industry risks not being able to meet customer requirements or even fulfillcorporate sustainability goals. In this paper we perform an exploratory case study on how to create and maintain awareness on an energy consumption perspective for software among stakeholders involved with the development of software products. During the study, we followed the development process of two commercial software products and provided direct feedback to the stakeholders on the effects of their development efforts, specifically concerning energy consumption and performance, using an energy dashboard. Multiple awareness measurements allowed us to keep track of changes over time on specific aspects affecting software development. Our results show that, despite a mixed sentiment towards the dashboard, changed awareness has triggered discussion on the energy consumption of software. ",2017,initial,Software Engineering,Energy Efficiency; Software Development Process; Software Engineering; Sustainability,Evaluation Research,Software Development accompanied by researchers measuring energy consumption and performance shown on a dashboard. Awarenex mechanisms influence stakeholder perception and discussion of software energy consumption,Empirical evidence,13
Empirical evaluation of two best practices for energy-efficient software development,10.1016/j.jss.2016.02.035,"Background. Energy efficiency is an increasingly important property of software. A large number of empirical studies have been conducted on the topic. However, current state-of-the-Art does not provide empirically-validated guidelines for developing energy-efficient software. Aim. This study aims at assessing the impact, in terms of energy savings, of best practices for achieving software energy efficiency, elicited from previous work. By doing so, it identifies which resources are affected by the practices and the possible trade-offs with energy consumption. Method. We performed an empirical experiment in a controlled environment, where we applied two different Green Software practices to two software applications, namely query optimization in MySQL Server and usage of ""sleep"" instruction in the Apache web server. We then performed a comparison of the energy consumption at system-level and at resource-level, before and after applying the practice. Results. Our results show that both practices are effective in improving software energy efficiency, reducing consumption up to 25%. We observe that after applying the practices, resource usage is more energy-proportional i.e., increasing CPU usage increases energy consumption in an almost linear way. We also provide our reflections on empirical experimentation in software energy efficiency. Conclusions. Our contribution shows that significant improvements in software energy efficiency can be gained by applying best practices during design and development. Future work will be devoted to further validate best practices, and to improve their reusability. ",2016,initial,Software Engineering,Empirical Research; Energy Efficiency; Performance; Resource Optimization; Software Engineering,Evaluation Research,Controlled experimental evaluation of software best practices applied to database and web server systems resulting in empirical evidence on the effectiveness of selected best practices in reducing software energy consumption and improving energy profiling,Empirical evidence,13
Energy Consumption of&nbsp;IoT Monitoring Software Architectures in&nbsp;the&nbsp;Edge,10.1007/978-3-031-70797-1_15,"IoT has led energy consumption to be a critical issue for sustainability due to the huge amount of power connections of IoT devices and the huge amount of generated data that must be transmitted and stored. As a result, the data monitoring process and its processing activities must be performed by the nodes and servers of the Edge in a sustainable way. The IoT monitoring process of data consists of four main activities: listening, filtering, translating and routing. Once the data has been monitored, it can be stored and transmitted to the Edge/Cloud. In order to address sustainable monitoring processes in the Edge, it is necessary to evaluate how the configuration of the components that compose the Edge monitoring architecture may influence its energy consumption. In this paper, we present the experimental results of an exploratory study and its findings, in which the energy consumption of four different software architecture configurations of an indoor environmental monitoring IoT system is measured. From the execution of 24 experiments, the study reveals the importance of balancing the monitoring activities between the Edge nodes and servers, and evidences the energy consumption increment that data storage implies for the Edge. ",2024,initial,Software Architecture,Architecture; Energy Efficiency; Internet of Things; Metrics and Measurement,Evaluation Research,Indoor IoT monitoring systems evaluated on Edge nodes and servers through controlled experiments giving empirical evidence on the energy consumption of different software architecture configurations for Edge-based IoT monitoring systems,Empirical evidence,13.5
Energy efficiency of the Visitor Pattern: contrasting Java and C++ implementations,10.1007/s10664-023-10387-8,"Design patterns are applied frequently during software evolution in order to make the software more flexible and amenable to extension. One little-studied aspect of design patterns is their propensity to increase run-time energy consumption due to the indirection and additional structure they introduce. In this paper we study the impact of the Visitor pattern on energy efficiency. The Visitor pattern separates an algorithm from the objects it acts upon and improves maintainability by placing each algorithm within a single visitor class. This is at the cost of increased indirection due to the double dispatch required when the algorithm is invoked. We experimentally investigate the energy impact of varying the implementation of this pattern, and of removing the pattern entirely from software written in Java and C++. In our results we observe energy consumption reductions greater than 7% in a Java-based textbook example when the pattern is implemented using reflective dispatch, and reductions of over 10% when experimenting with an open source Java project, JavaParser. The complete removal of the pattern yields more complex results, with little impact in the textbook example but reductions of over 7% in the JavaParser study. To explore the generalisability of our findings, we subsequently apply the same transformations to the C++ based CppParser. Total pattern removal here sees energy consumption reductions of over 66% while the reflective dispatch approach increases energy consumption by up to 2012%. Our results highlight the energy savings that can be achieved when the Visitor pattern is removed both in Java and C++ implementations, and also show that some language specific features can allow for further energy savings when the implementation of the pattern is varied. ",2023,initial,Design Patterns,Design Patterns; Energy Efficiency; Programming Languages,Evaluation Research,Software systems implemented in Java and C++ evaluated through controlled experiments on pattern variants and real-world projects resulting in empirical evidence on how different implementations and removal of the Visitor design pattern affect software energy consumption across programming languages,Empirical evidence,13.5
Evaluating the Impact of Design Pattern Usage on Energy Consumption of Applications for Mobile Platform,10.2478/acss-2021-0001,"Energy efficiency in mobile computing is really an important issue these days. Owing to the popularity and prevalence of Android operating system among the people, a great number of Android smartphone applications have been developed and proliferated by the software developers. While developing these applications, developers have to keep energy consumption factor in mind, as the efficiency of an application is largely affected by it. Thus, designers and programmers endeavour to choose the best designing approaches to develop energy-efficient applications. It is imperative to assist the programmers in choosing appropriate techniques and strategies to manage power consumption. In the present research, we have investigated the effect of Android application design on its energy utilisation. For this purpose, we have practically implemented design patterns on two Android applications and evaluated their energy consumption before and after implementing these patterns. We have modelled the high-level design of these two Android applications by using software design patterns in such a way as to abate their energy requirement. We have also checked how the quality, maintainability, and efficiency of code are affected by these design patterns. The outcomes of the research can facilitate programmers to utilise these details while developing energy efficient solutions.",2021,initial,Mobile Software Engineering,Design Patterns; Energy Efficiency; Maintenance; Mobile Applications; Performance; Software Engineering; Software Quality,Evaluation Research,Android mobile applications empirically evaluated before and after applying design patterns and their affects on energy consumption and quality attributes,Empirical evidence,13
Evolution of Kotlin Apps in terms of Energy Consumption: An Exploratory Study,10.1109/ICT4S58814.2023.00014,"Context. Java and Kotlin are the two main programming languages used to create Android applications. Kotlin almost completely replicates the capabilities offered by Java and offers extra features, making it a popular choice among developers. From a sustainability perspective, it is crucial to assess the energy usage of Kotlin-based Android applications. Goal. The goal of this study is to explore how the energy consumption of Kotlin applications evolves over time. The study also aims at identifying the key factors that influence energy consumption, to inform developers on how the changes they make affect the energy consumed by their applications. Method. To investigate how Kotlin apps' energy consumption changes through releases, we study three open-source apps Kotlin apps that are also present in the Google Play store. We conduct a measurement-based experiment during which we assess the energy consumed by several releases of each studied application, for a total of 171 executions. Afterwards, we statistically analyse the collected data to identify relevant energy fluctuations (i.e.,, spikes, drops). Finally, we manually inspect the source code changes in the apps to identify possible causes of the identified energy fluctuations. Results. All three studied applications exhibit a growing trend for energy consumption over the course of their releases. Moreover, abnormal energy spikes are found for all applications. There are different causes behind these variations, including OS upgrades, new features, poorly chosen design patterns and libraries, UI issues, and unstable app versions. Conclusions. Our study provides evidence that a number of not fully understood factors can affect the energy consumption of a mobile application. Further work is needed to study their impact. ",2023,initial,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming Languages; Software Engineering; Software Evolution,Evaluation Research,"Open-source Android applications written in Kotlin, analyzed across multiple releases using measurement-based experiments resulting in empirical insights into how the energy consumption of Kotlin-based Android applications evolves over time and the factors influencing energy variations",Empirical evidence,13.5
How green are cloud patterns?,10.1109/PCCC.2015.7410295,"Cloud Patterns are abstract solutions to recurrent design problems in the cloud. Previous work has shown that these patterns can improve the Quality of Service (QoS) of cloud applications but their impact on energy consumption is still unknown. Yet, energy consumption is the biggest challenge that cloud computing systems (the backbone of today's high-tech economy) face today. In fact, 10% of the world's electricity is now being consumed by servers, laptops, tablets and smartphones. Energy consumption has complex dependencies on the hardware platform, and the multiple software layers. The hardware, its firmware, the operating system, and the various software components used by a cloud application, all contribute to determining the energy footprint. Hence, even though increasing a data center efficiency will eventually improve energy efficiency, the internal design of cloud-based applications can be improved to lower energy consumption. In this paper, we conduct an empirical study on a RESTful multi-threaded application deployed in the cloud, to investigate the individual and the combined impact of three cloud patterns (e.g., Local Database proxy, Local Sharding Based Router and Priority Queue) on the energy consumption of cloud based applications. We measure the energy consumption using Power-API; an application programming interface (API) written in Java to monitor the energy consumed at the process-level. Results show that cloud patterns can effectively reduce the energy consumption of a cloud application, but not in all cases. In general, there appear to be a trade-off between an improved response time of the application and the energy consumption. Developers and software architects can make use of these results to guide their design decisions. ",2016,initial,Software Architecture,Architecture; Cloud Computing; Design Patterns; Energy Efficiency; Metrics and Measurement; Software Engineering; Web Applications,Evaluation Research,Cloud-based applications deployed in a public cloud and evaluated through controlled experiments using energy monitoring APIs giving empirical evidence on the energy impact of cloud design patterns and analysis of trade-offs between energy consumption and performance,Empirical evidence,13.5
