Title,Authors,Year,Abstract,DOI,Type,Venue,Domain,Research_Keywords,Research_Approach,Context,Contribution
A Comparative Analysis of Monolith vs Microservices Energy Consumption,"Capuano, Roberta;  O’Dea, Eoan;  Muccini, Henry",2026,"As energy demands rise and sustainability becomes critical, Information and Communication Technology’s energy footprint is increasingly monitored. In this context, software architecture may play a significant role in determining a system’s energy consumption. This study aims to evaluate and compare the energy consumption of monolithic and microservice-based software to understand their implications for sustainable software design. We applied a cohort study approach in a controlled experimental environment using two open-source Java applications—PetClinic and TicketMonster—each implemented in both monolithic and microservice versions. Three use cases, representing different workloads, were defined and executed 30 times each per version, resulting in 360 total runs. Server energy use was measured with Powerstat and analyzed using Welch’s t-test. Our findings show that microservices may consume less energy than their monolithic counterparts under medium and heavy loads. Specifically, PetClinic and TicketMonster showed energy reductions of 4.99% and 5.05%, respectively. Across all use cases and applications, microservices demonstrated an average energy saving of 5.02% compared to monoliths. These results suggest that microservice architectures may offer improved energy efficiency in high-demand scenarios due to better resource utilization and modular execution. While the study is limited to controlled conditions and two case studies, it provides a foundation for further research on architectural decisions and sustainable software engineering practices. ",10.1007/978-3-032-02138-0_17,Conference paper,"Software Architecture: 19th European Conference, ECSA 2025, Limassol, Cyprus, September 15–19, 2025, Proceedings",Software Architecture,Microservice; Monolithic Architecture; Energy Consumption; Software Architecture,Validation Research,"Two Open Source Java-Applications, each implemented in both architectures for controlled comparative experiment regarding energy consumption",Empirical evidence
A Green Perspective on Structured Parallel Programming," Kilpatrick, Peter;  M. Torquati; M. Danelutto; Danelutto, Marco;  Torquati, Massimo;  P. Kilpatrick",2015,"Structured parallel programming, and in particular programming models using the algorithmic skeleton or parallel design pattern concepts, are increasingly considered to be the only viable means of supporting effective development of scalable and efficient parallel programs. Structured parallel programming models have been assessed in a number of works in the context of performance. In this paper we consider how the use of structured parallel programming models allows knowledge of the parallel patterns present to be harnessed to address both performance and energy consumption. We consider different features of structured parallel programming that may be leveraged to impact the performance/energy trade-off and we discuss a preliminary set of experiments validating our claims. ",10.1109/PDP.2015.116,IEEE Conferences,"['', 'Proceedings of the 2015 23rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing']",Software Architecture,Architecture; Distributed Systems; Energy Consumption; Energy-Efficiency; Distributed Systems,Validation Research,Five distributed system styles; Framework estimates energy consumption,Framework
A Highly-efficient Lattice-based Post-Quantum Cryptography Processor for IoT Applications," Huang, Kejie; Ye, Zewen;  Cheung, Ray C.C.;  Song, Ruibing;  Chen, Donglong;  Zhang, Hao",2024,"Lattice-Based Cryptography (LBC) schemes, like CRYSTALS-Kyber and CRYSTALS-Dilithium, have been selected to be standardized in the NIST Post-Quantum Cryptography standard. However, implementing these schemes in resource-constrained Internet-of-Things (IoT) devices is challenging, considering efficiency, power consumption, area overhead, and flexibility to support various operations and parameter settings. Some existing ASIC designs that prioritize lower power and area can not achieve optimal performance efficiency, which are not practical for battery-powered devices. Custom hardware accelerators in prior co-processor and processor designs have limited applications and flexibility, incurring significant area and power overheads for IoT devices. To address these challenges, this paper presents an efficient lattice-based cryptography processor with customized Single-Instruction-Multiple-Data (SIMD) instruction. First, our proposed SIMD architecture supports efficient parallel execution of various polynomial operations in 256-bit mode and acceleration of Keccak in 320-bit mode, both utilizing efficiently reused resources. Additionally, we introduce data shuffling hardware units to resolve data dependencies within SIMD data. To further enhance performance, we design a dual-issue path for memory accesses and corresponding software design methodologies to reduce the impact of data load/store blocking. Through a hardware/software co-design approach, our proposed processor achieves high efficiency in supporting all operations in lattice-based cryptography schemes. Evaluations of Kyber and Dilithium show our proposed processor achieves over 10× speedup compared with the baseline RISC-V processor and over 5× speedup versus ARM Cortex M4 implementations, making it a promising solution for securing IoT communications and storage. Moreover, Silicon synthesis results show our design can run at 200 MHz with 2.01 mW for Kyber KEM 512 and 2.13 mW for Dilithium 2, which outperforms state-of-the-art works in terms of PPAP (Performance × Power × Area). ",10.46586/tches.v2024.i2.130-153,Article,IACR Transactions on Cryptographic Hardware and Embedded Systems,Parallel Programming,Structured Parallel Programming; Algorithmic Skeletons; Parallel Design Patterns; Energy Consumption,Validation Research,Parallel Software Systems,Conceptual Framework
A Multi-Sensor-Based System for Cardiovascular Health Monitoring," Jin, Wenguang; H. Shan;  W. Jin; Shan, Haicheng",2025,"With the rising prevalence of cardiovascular diseases, cardiovascular health monitoring systems have become crucial for personal health management. This paper presents the design and implementation of a multi-sensor-based cardiovascular health monitoring system. The system collects physiological signals, including photoplethysmography (PPG), electrocardiography (ECG), and phonocardiography (PCG) from the forehead and chest/abdomen, while also integrating auxiliary parameters such as body temperature and respiratory rate to provide a comprehensive cardiovascular health assessment. The hardware design consists of signal acquisition circuits for the forehead and chest/abdomen, along with a Bluetooth Low Energy (BLE) wireless transmission circuit. The collected data is transmitted wirelessly via the BLE protocol and subsequently analyzed on a personal computer (PC). Regarding software design, the data acquisition module is optimized for low power consumption and transmission stability. On the PC side, signal quality is enhanced through filtering techniques, heart rate and respiratory rate are determined using peak detection algorithms, and blood oxygen saturation is computed based on the Lambert-Beer law. Experimental results demonstrate that the system effectively monitors cardiovascular health in real-time and exhibits promising potential for practical applications. ",10.1109/ICSI64877.2025.11009742,IEEE Conferences,2025 5th International Conference on Sensors and Information Technology,Software Architecture,Microservices; Software-Architecture; Anti-Patterns; Energy Consumption; Energy Efficiency,Solution Proposal,Development Lifecycle of microservice-based apps,Framework
A comprehensive study of task coalescing for selecting parallelism granularity in a two-stage bidiagonal reduction," Łuszczek, Piotr R.;  Ltaief, Hatem;  Dongarra, Jack J.; Haidar, Azzam",2012,"We present new high performance numerical kernels combined with advanced optimization techniques that significantly increase the performance of parallel bidiagonal reduction. Our approach is based on developing efficient fine-grained computational tasks as well as reducing overheads associated with their high-level scheduling during the so-called bulge chasing procedure that is an essential phase of a scalable bidiagonalization procedure. In essence, we coalesce multiple tasks in a way that reduces the time needed to switch execution context between the scheduler and useful computational tasks. At the same time, we maintain the crucial information about the tasks and their data dependencies between the coalescing groups. This is the necessary condition to preserve numerical correctness of the computation. We show our annihilation strategy based on multiple applications of single orthogonal reflectors. Despite non-trivial characteristics in computational complexity and memory access patterns, our optimization approach smoothly applies to the annihilation scenario. The coalescing positively influences another equally important aspect of the bulge chasing stage: the memory reuse. For the tasks within the coalescing groups, the data is retained in high levels of the cache hierarchy and, as a consequence, operations that are normally memory-bound increase their ratio of computation to off-chip communication and become compute-bound which renders them amenable to efficient execution on multicore architectures. The performance for the new two-stage bidiagonal reduction is staggering. Our implementation results in up to 50-fold and 12-fold improvement (∼130 Gflop/s) compared to the equivalent routines from LAPACK V3.2 and Intel MKL V10.3, respectively, on an eight socket hexa-core AMD Opteron multicore shared-memory system with a matrix size of 24000 x 24000. Last but not least, we provide a comprehensive study on the impact of the coalescing group size in terms of cache utilization and power consumption in the context of this new two-stage bidiagonal reduction. © 2012 IEEE. ",10.1109/IPDPS.2012.13,Conference paper,,Mobile Software Engineering,Progressive-Web-Apps; Energy Consumption; Mobile-Apps; Energy Efficiency,Validation Research,Mobile Applications Energy Consumption,Empirical evidence
A framework for estimating the impact of a distributed software system's architectural style on its energy consumption," S. Malek;  G. Edwards;  Edwards, George;  Edwards, George T.;  Medvidovic̈, Nenad;  Medvidovic, Nenad; Seo, Chiyoung;  N. Medvidovic;  Malek, Sam; C. Seo",2008,"The selection of an architectural style for a given software system is an important factor in satisfying its quality requirements. In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption has increasingly been recognized as an important quality attribute. In this paper, we present a framework that (1) facilitates early estimation of the energy consumption induced by an architectural style in a distributed software system, and (2) consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application. We have applied the framework on five distributed systems styles to date, and have evaluated it for precision and accuracy using a particular middleware platform that supports the implementation of those styles. In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the five styles and estimate the relative differences in their energy consumptions. Moreover, the framework has also proven to be accurate: its estimates were within 7% of the different style implementations' actually measured energy consumptions. © 2008 IEEE. ",10.1109/WICSA.2008.28,IEEE Conferences,"['', 'Proceedings of the Seventh Working IEEE/IFIP Conference on Software Architecture (WICSA 2008)']",Software Architecture,Architecture; Distributed Systems; Energy Consumption; Energy-Efficiency; Distributed Systems,Validation Research,Distributed Systems; Energy Consumption,Framework
An adaptive offloading framework for Android applications in mobile edge computing," Zhang, Ying;  Ma, Yun;  Liu, Bichun;  Chen, Shihong; Chen, Xing;  Huang, Gang",2019,"Mobile edge computing (MEC) provides a fresh opportunity to significantly reduce the latency and battery energy consumption of mobile applications. It does so by enabling the offloading of parts of the applications on mobile edges, which are located in close proximity to the mobile devices. Owing to the geographical distribution of mobile edges and the mobility of mobile devices, the runtime environment of MEC is highly complex and dynamic. As a result, it is challenging for application developers to support computation offloading in MEC compared with the traditional approach in mobile cloud computing, where applications use only the cloud for offloading. On the one hand, developers have to make the offloading adaptive to the changing environment, where the offloading should dynamically occur among available computation nodes. On the other hand, developers have to effectively determine the offloading scheme each time the environment changes. To address these challenges, this paper proposes an adaptive framework that supports mobile applications with offloading capabilities in MEC. First, based on our previous study (DPartner), a new design pattern is proposed to enable an application to be dynamically offloaded among mobile devices, mobile edges, and the cloud. Second, an estimation model is designed to automatically determine the offloading scheme. In this model, different parts of the application may be executed on different computation nodes. Finally, an adaptive offloading framework is implemented to support the design pattern and the estimation model. We evaluate our framework on two real-world applications. The results demonstrate that our approach can aid in reducing the response time by 8%–50% and energy consumption by 9%–51% for computation-intensive applications. ",10.1007/s11432-018-9749-8,Article,Science China Information Sciences,Software Architecture,Aspect Oriented Programming; Software Development Life Cycle; Energy Consumption;  Energy Efficiency; Distributed Systems,Solution Proposal,Distributed Architecture evaluated in Case-Study with developed aspect-oriented model,Model
An effective measurement technique of level-2 cache performance for multicore embedded systems," Asaduzzaman, Abu Sadath;  Saha, Aloke Kumar; Mridha, M. F.",2013,"The state-of-the-art embedded systems are adopting multicore processors as multicore architecture provides high performance and better supports for computation intensive applications. Although cache improves the overall performance, designing multicore embedded systems with multilevel caches is a great challenge. Caches make thermal constraint crucial; parallel thread execution difficult; and timing unpredictability even worse. An effective early estimation technique can be very valuable to design level-2 cache (CL2) for multicore embedded systems. In this work, we propose a simulation based measurement technique to analyze the impact of CL2 on performance and power consumption to facilitate the design of future embedded systems. We model a quad-core system with two levels of caches (where CL2 is shared). By varying the locked CL2 cache size and total CL2 cache size, we run the simulation program using popular applications including MPEG-4 and MPEG-3. Simulation results reveal that up to 25% CL2 cache locking is helpful for the simulated system. It is also observed that mean delay per task and total power consumption decrease up to 41% and 52%, respectively, when cache size is increased and cache locking is applied. © 2013 IEEE. ",10.1109/ICIEV.2013.6572566,Conference paper,,Software Architecture,Energy Consumption Modelling; Architecture; Metrics; Support Vector Machine; Machine Learning; Embedded Software-Engineering; Energy Consumption,Validation Research,Embedded Software Systems analyzed through architectural features and validated using experimental prediction results using machine learning,Model
An empirical evaluation of database software features on energy consumption," Basar, Ayse;  Miranskyy, Andriy V.; Akinli-Kocak, Sedef;  Işiklar Alptekin, Gülfem Işiklar;  Cialini, Enzo",2018,"Although software does not consume energy by itself, its characteristics determine which hardware resources are made available and how much energy is used. Therefore, energy efficiency of software products has become a popular agenda for both industry and academia in recent years. Designing such software is now a core initiative of software development companies aiming toward social responsibility. Meanwhile, however, developing environmentally sustainable software products is a challenge in that performance, functionality and energy consumption can reflect conflicting goals. In this paper, our objective is to analyze the effects of different features on energy consumption of the IBM DB2, a commonly used database product. The empirical work focuses on three features. We executed a workload in preconfigured software with some features enabled or disabled and with different numbers of users. To compare the different scenarios, three sets of green metrics were utilized. The metric set identified various parts of the software system where energy is consumed. Our findings may suggest that the conflicts among software system performance, functionality, and energy consumption can be mitigated by choosing a combination of features that interact in a way that improves energy efficiency. Index Terms energy consumption, green metrics, energy efficiency, environmental sustainability, software feature interaction, database. ",10.29007/9plt,Conference paper,EPiC Series in Computing,Code Smells,Code Smells; Maintenance and Sustainability; Software Architectures; Refactoring; Software Maintenance; Energy Efficiency,Validation Research,Software system evaluated through empirical refactoring experiments (code smell elimination sequences) and their impact on energy consumption and sustainability,Empirical evidence
Analysis of Architectural solutions Impact on Energy Consumption: Graph-Based Analysis," Khalfallah, Adel; B. Khil;  Ben Ahmed, Samir;  A. Khalfallah;  S. B. Ahmed; Khil, Basma",2020,"The prevalence of mobile computing platforms and the Internet of Things applications has triggered a quest to evolve energy-efficient software systems. Thus, addressing energy efficiency at the architectural level is a booming topic of interest. By this paper, we aim to propose an energy-driven architecture that encloses the most relevant artifacts tackled throughout the software design to analyze energy consumption. Our approach combines the meta-modeling and the graph transformations to formalize the understudied system and to survey the energy consumption. The energy consumption analysis is held on different alternative solutions of software architecture in a precocious stage for design more energy-efficient applications. ",10.1109/IWCMC48107.2020.9148211,IEEE Conferences,2020 International Wireless Communications and Mobile Computing (IWCMC),Software Architecture,Software-Architecture; Meta-Modelling; Graph Transformations; Energy-Driven Architecture; Energy Consumption,Solution Proposal,"Software architectures analyzed at early design stages for mobile and IoT applications using a Graph-based, architectural-level approach for analyzing and comparing the energy impact of architectural solutions",Method
