Title,DOI,Abstract,URLs,Authors,Item type,Journal,Full journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference,Conference location,Conference date,Date published,Date accessed,ISBN,ISBN (alt.),ISSN,ISSN (alt.),Keywords,Copyright,Affiliation,Language,Series
A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,10.1109/icsme46990.2020.00088,"Code smells have always been associated with bad code source quality and maintenance problems by the research community. However, a few code smells remain within code for years without influence a project, and some of the developers do not even recognize them. This late-breaking idea paper wants to investigate the role of code smells within the context of software quality and the sustainability of projects. For this reason, we first plan to understand the impact of code smells on sustainability and then perform a fine-grain analysis to analyze their evolution, focusing on the possible benefits of their presence.",http://dx.doi.org/10.1109/icsme46990.2020.00088,Catolino G,Conference Paper,,,2020,,,,IEEE,,,2020 IEEE International Conference on Software Maintenance and Evolution (ICSME),2020 IEEE International Conference on Software Maintenance and Evolution (ICSME),"Adelaide, Australia",2020/9/28-2020/10/2,2020-09,,9.78173E+12,,,,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,
A green computing based architecture comparison and analysis,10.1109/greencom-cpscom.2010.110,"With rising energy cost and growing environmental concerns, green computing is receiving more and more attention. Software and system architectures ( in terms of concurrency patterns) play a crucial role in both computing and telecommunication systems, and they have been analyzed for performance, reliability, maintainability, and security. Yet, little work on analysis based on the amount of energy that the CPU/processor will consume has been reported. Since most communication systems have to run 24/7 (e.g., most server farms, servers in a cloud computing infrastructure), the energy consumption of a system based on a specific software architecture is of great importance. For example, high energy consuming always leads to higher operational cost of the system. High energy consumption also implies more heat produced, thus, more power is required for cooling-down. In this paper, we propose a model that can be used to analyze the energy consumption of a software architecture, given the CPU/processor that will be used. Thus, this model gives one an additional dimension to compare competing software architectures. We present a case study using a generic sender/receiver communication system to evaluate two architectural alternatives with emphasis on energy consumption",http://dx.doi.org/10.1109/greencom-cpscom.2010.110,"Zhong B,Feng M,Lung CH",Conference Paper,,,2010,,,,IEEE,,,"2010 IEEE/ACM Int'l Conference on Green Computing and Communications & Int'l Conference on Cyber, Physical and Social Computing","Int'l Conference on Cyber, Physical and Social Computing (CPSCom)","Hangzhou, China",2010/12/18-2010/12/20,2010-12,,9.78142E+12,,,,,,,,
A preliminary study of the impact of software engineering on GreenIT,10.1109/greens.2012.6224251,"GreenIT has emerged as a discipline concerned with the optimization of software solutions with regards to their energy consumption. In this domain, most of state-of-the-art solutions offer limited or constraining approaches to monitor the energy consumption of a device or a process. In this paper, we therefore report on a runtime energy monitoring framework we developed to easily report on the energy consumption of system processes. Concretely, our approach adopts an OS-level library, called PowerAPI, which estimates the power consumption of processes according to different dimensions (CPU, network, etc.). In order to better understand potential energy leaks of legacy software, we use this library to study the impact of programming languages and algorithmic choices on the energy consumption. This preliminary study is based on an empirical evaluation of a eight implementations of the Towers of Hanoi problem.",http://dx.doi.org/10.1109/greens.2012.6224251,"Noureddine A,Bourdon A,Rouvoy R,Seinturier L",Conference Paper,,,2012,,,,IEEE,,,2012 First International Workshop on Green and Sustainable Software (GREENS),2012 First International Workshop on Green and Sustainable Software (GREENS),"Zurich, Switzerland",2012/6/3-2012/6/3,2012-06,,9.78147E+12,9.78147E+12,,,,,,,
A process for analysing the energy efficiency of software,10.1016/j.infsof.2021.106560,"Context: It is essential to be aware of the energy efficiency of software when it is running, so that it can be improved; to that end, energy consumption measurements need to be carried out. To ensure that these mea- surements are as reliable as possible, it is recommended that a well-defined process be followed. Objective: To identify how the process for analysing the energy efficiency of software should be carried out (including the definition of the software to be evaluated, the selection of measuring instruments, the analysis and the presentation of results, etc.), in an endeavour to improve the reliability and consistency of the information obtained regarding energy efficiency. Method: An analysis of related work was carried out, to extract some good practices in measuring energy con- sumption; based on our experience, a process to analyse the energy efficiency of the software has been defined. Results: We have defined a process to analyse the energy efficiency of the software. We describe this process through a set of phases that covers all the steps needed to carry out a correct analysis of the energy consumption of the software executed. Moreover, this process was validated with two different studies using different mea- surement instruments (one with a hardware-based approach and one with a software-based approach) to ensure its applicability to all types of studies with software energy consumption measurement. Conclusion: The steps to be followed to analyse the energy efficiency of the software need to be established. A new process has hence been defined to improve the reliability and consistency of the measurements. Furthermore, this process facilitates the replicability and comparison of the studies carried out.",http://dx.doi.org/10.1016/j.infsof.2021.106560,"Mancebo J,Garcia F,Calero C",Journal Article,Inf. Softw. Technol.,Information and Software Technology,2021,134,106560,106560,Elsevier BV,,,,,,,2021-06,,,,0950-5849,1873-6025,,,,en,
A study of energy-aware implementation techniques: Redistribution of computational jobs in mobile apps,10.1016/j.suscom.2014.11.005,"As devices like smartphones and tablets have been adopted by millions of users, the offer of mobile software products and services has as well evolved significantly. Current mobile software products require hardware resources, computer job and network connectivity that is reflected in increasing power needs. This power demand represents a major challenge to the strong autonomy requirement of mobile devices, powered by batteries. As a consequence, one of the most important qualities of mobile software development is the ability to produce applications that consume energy resources wisely. To accomplish this goal, different approaches have been proposed, including energy-aware software design and implementation techniques. The energy aware software design techniques considered in this work are two: Method Reallocation, which refers to the placement of pieces of code in different execution scopes within a single target (e.g., kernel space, application space, shared library space), and Method Offloading, which refers to the placement of pieces of code in external resources in different scopes (for instance a remote server). Both techniques aim to economize resources like processing power, and memory usage, but always upon the expenses carried by interfacing, communication and network overhead. Our goal is to investigate how each one can contribute to reduce the overall energy consumption of a mobile software application. As an experiment, we utilized a mobile application that runs software benchmarks coded in Java and C. We exercised the benchmarks in different execution scopes within the handheld target and a remote server counterpart, measuring the amount of energy required to complete each job. After determining the energy consumed by each routine for each execution scope, we identified in what cases it is convenient to reallocate the processing job, and when it is advisable to offload it to an external execution environment.",http://dx.doi.org/10.1016/j.suscom.2014.11.005,"Corral L,Georgiev AB,Sillitti A,Succi G",Journal Article,Sustain. Comput. Inform. Syst.,Sustainable Computing Informatics and Systems,2015,7,,23-Nov,Elsevier BV,,,,,,,2015-09,,,,2210-5379,2210-5387,,,,,
An empirical analysis of energy consumption of cross-platform frameworks for mobile development,10.1016/j.pmcj.2016.10.004,"The increasing fragmentation of mobile devices market has created the problem of supporting all the possible mobile platforms to reach the highest number of potential users. One possible solution is to use cross-platform frameworks, that let develop only one application that is then deployed to all the supported target platforms. Currently available cross-platform frameworks follow different approaches to deploy the final application, and all of them has pros and cons. In this paper, we evaluate and compare together the current frameworks for cross-platform mobile development considering one of the most important aspect when dealing with mobile devices: energy consumption. Our analysis shows and measure how the adoption of cross-platform frameworks impacts energy consumption with respect to the native mobile development, identifies which are the most consuming tasks, and tries to define a final rank among all the different approaches. Moreover, we highlight future development necessary to improve performances of cross-platform frameworks to reach native development performances.",http://dx.doi.org/10.1016/j.pmcj.2016.10.004,"Ciman M,Gaggi O",Journal Article,Pervasive Mob. Comput.,Pervasive and Mobile Computing,2017,39,,214-230,Elsevier BV,,,,,,,2017-08,,,,1574-1192,1873-1589,,,,,
An energy consumption framework for distributed java-based systems,10.1145/1321631.1321699,"In this paper we define and evaluate a framework for estimating the energy consumption of Java-based software systems. Our primary objective in devising the framework is to enable an engineer to make informed decisions when adapting a system's architecture, such that the energy consumption on hardware devices with a finite battery life is reduced, and the lifetime of the system's key software services increases. Our framework explicitly takes a component-based perspective, which renders it well suited for a large class of today's distributed, embedded, and pervasive applications. The framework allows the engineer to estimate the software system's energy consumption at system construction-time and refine it at runtime. In a large number of distributed application scenarios, the framework showed very good precision on the whole, giving results that were within 5% (and often less) of the actually measured power losses incurred by executing the software. Our work to date has also highlighted a number of possible enhancements",http://dx.doi.org/10.1145/1321631.1321699,"Seo C,Malek S,Medvidovic N",Conference Paper,,,2007,,,,ACM,"New York, NY, USA",,Proceedings of the twenty-second IEEE/ACM international conference on Automated software engineering,ASE07: International Conference on Automated Software Engineering 2007,Atlanta Georgia USA,2007/11/5-2007/11/9,11/5/07,,9.7816E+12,,,,,,"University of Southern California, Los Angeles, CA; George Mason University, Fairfax, VA",,
An energy efficiency study of web-based communication in android phones,10.1155/2019/8235458,"Currently, mobile devices are the most popular pervasive computing devices, and they are becoming the primary way for accessing Internet. Battery is a critical resource in such personal computing gadgets, network communications being one of the primary energy consuming activities in any mobile app. Indeed, as web-based communication is the most used explicitly or implicitly by mobile devices, HTTP-based traffic is the most power demanding one. So, mobile web developers should be aware of how much energy demands the different web-based communication alternatives. The goal of this paper is to measure and compare the energy consumption of three asynchronous HTTP-based methods in mobile devices in different browsers. Our experiments focus on three HTTP-based asynchronous communication models that allow a web server to push data to a client browser through a HTTP/1.1 interaction: Polling, Long Polling, and WebSockets. The resulted measurements are then analysed to get more accurate understanding of the impact of the selected method, and the mobile browser, in the energy consumption of the asynchronous HTTP-based communication. The utility of these experiments is to show developers what are the factors and settings that mostly influence the energy consumption when different web-based asynchronous communication methods are used, helping them to choose the most beneficial solution if possible. With this information, mobile web developers should be able to reduce the power consumption of the front-end of web applications for mobile devices, just selecting and configuring the best asynchronous method or mobile browser, improving the performance of HTTP-based communication in terms of energy demand.",http://dx.doi.org/10.1155/2019/8235458,"Ayala I,Amor M,Fuentes L",Journal Article,Sci. Program.,Scientific Programming,2019,2019,,19-Jan,Hindawi Limited,,,,,,,4/4/19,,,,1058-9244,1875-919X,,,"Lenguajes y Ciencias de la Computación, Universidad de Málaga, Andalucía Tech, Málaga 29071, Spain",en,
An investigation into energy-saving programming practices for Android smartphone app development,10.1145/2593743.2593750,"Developing energy efficient mobile applications is an impor- tant goal for software developers as energy usage can di- rectly affect the usability of a mobile device. Unfortunately, developers lack guidance as to how to improve the energy efficiency of their implementation and which practices are most useful. In this paper we conducted a small-scale em- pirical evaluation of commonly suggested energy-saving and performance-enhancing coding practices. In the evaluation we evaluated the degree to which these practices were able to save energy as compared to their unoptimized code coun- terparts. Our results provide useful guidance for mobile app developers. In particular, we found that bundling network packets up to a certain size and using certain coding prac- tices for reading array length information, accessing class fields, and performing invocations all led to reduced energy consumption. However, other practices, such as limiting memory usage had a very minimal impact on energy us- age. These results serve to inform the developer community about specific coding practices that can help lower the over- all energy consumption and improve the usability of their applications.",http://dx.doi.org/10.1145/2593743.2593750,"Li D,Halfond WG",Conference Paper,,,2014,,,,ACM,"New York, NY, USA",,Proceedings of the 3rd International Workshop on Green and Sustainable Software,ICSE '14: 36th International Conference on Software Engineering,Hyderabad India,2014/6/1-2014/6/1,2014-06,,9.78145E+12,,,,,,"University of Southern California, USA",,
An IoT edge computing system architecture and its application,10.1109/icnsc48988.2020.9238096,"As the number of devices connected to the Internet of things (IoT) surges, the amount of data explodes. Therefore it not only increases the bandwidth load of data transmission but also aggravates the computing and storage load of a cloud platform. At the same time, the traditional computing paradigm centered on cloud computing cannot meet the real-time requirements in many application scenarios. The emergence of edge computing can solve the problems of realtime data processing and network bandwidth occupation in the current IoT scene. In this paper, according to the characteristics of IoT, such as fragmented data, heterogeneous network, and limited energy consumption, the architecture of an IoT edge computing system is constructed to suit better an IoT scene. In addition, the application of edge computing key technologies such as virtualization, edge intelligence, computing offload, collaborative scheduling and micro-services in resource-constrained IoT scenarios is analyzed in detail. Finally, the functions and application of energy consumption monitoring and optimization to a central air-conditioning system are analyzed and summarized, which is a typical application of edge computing in the context of the IoT.",http://dx.doi.org/10.1109/icnsc48988.2020.9238096,"Chen S,Li Q,Zhang H,Zhu F,Xiong G,Tang Y",Conference Paper,,,2020,,,,IEEE,,,"2020 IEEE International Conference on Networking, Sensing and Control (ICNSC)","2020 IEEE International Conference on Networking, Sensing and Control (ICNSC)","Nanjing, China",2020/10/30-2020/11/2,10/30/20,,9.78173E+12,9.78173E+12,,,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,
